# FAST-LIVO2 runtime diagnostics
# node=fast_livo2,package=fast_livo
# values are sampled approximately every diagnostics_interval_sec
wall_epoch_s,ros_time_s,processed_time_s,newest_sensor_time_s,lag_s,rss_kb,rss_hwm_kb,vmsize_kb,vmswap_kb,threads,mem_available_kb,swap_free_kb,lidar_buf,img_buf,imu_buf,prop_imu_buf,root_voxels,visual_voxels,visual_points,path_poses,pub_wait_points,pcd_wait_points,dropped_lidar,dropped_img,dropped_imu,root_pruned_total,root_hardcap_pruned_total,visual_pruned_voxels_total,visual_pruned_points_total,pos_x,pos_y,pos_z,vel_norm,lio_down_s,lio_icp_s,lio_map_s,lio_total_s,lio_avg_s,vio_retrieve_s,vio_ekf_s,vio_generate_s,vio_update_s,vio_ref_s,vio_total_s,vio_avg_s
1790149222.000000,1790149222.666410,946690217.297601,946690219.732841,2.435239,436168,436168,1594176,0,14,4256916,2181020,25,21,503,0,9713,391,680,6,0,43833,0,0,0,0,0,0,0,-0.010874,0.010903,-0.000417,0.076278,0.006732,0.226151,0.063486,0.298050,0.234877,0.011996,0.042215,0.007710,0.000284,0.000003,0.062207,0.038707
1790149223.000000,1790149223.687388,946690217.512783,946690220.827573,3.314790,514464,514464,1693120,0,14,4176372,2181020,34,31,679,0,10158,513,1017,8,0,71404,0,0,0,0,0,0,0,-0.011756,0.019988,-0.002142,0.029280,0.001246,0.068496,0.014556,0.084786,0.223085,0.006847,0.013116,0.002364,0.000220,0.000002,0.022549,0.038388
1790149224.000000,1790149224.891700,946690217.687025,946690221.930347,4.243323,587608,587608,1780908,0,14,4100536,2181020,43,39,870,0,10669,570,1235,10,0,91946,0,0,0,0,0,0,0,-0.012473,0.020247,-0.000048,0.019404,0.002528,0.070967,0.026480,0.100844,0.224796,0.008566,0.013598,0.004206,0.000232,0.000002,0.026604,0.037663
1790149226.000000,1790149226.044125,946690217.928773,946690223.131198,5.202425,631252,631252,1848688,0,14,4055344,2181020,52,43,1058,0,10959,633,1487,13,0,110362,0,0,0,0,0,0,0,-0.013836,0.021852,-0.000957,0.049544,0.003851,0.154818,0.032990,0.192714,0.203912,0.009795,0.014275,0.004937,0.000277,0.000003,0.029286,0.035334
1790149227.000000,1790149227.317797,946690218.275188,946690224.328928,6.053741,679956,679956,1920148,0,14,4005672,2181020,61,48,1232,0,11386,667,1691,16,0,127801,0,0,0,0,0,0,0,-0.013777,0.017822,0.002249,0.014802,0.005363,0.278262,0.040854,0.325781,0.207134,0.010085,0.014245,0.004463,0.000252,0.000003,0.029048,0.034690
1790149228.000000,1790149228.453982,946690218.508940,946690225.528005,7.019064,728000,728000,1987740,0,14,3954588,2181020,71,53,1435,0,11635,697,1895,18,0,148206,0,0,0,0,0,0,0,-0.009246,0.015285,-0.004265,0.055837,0.007063,0.246139,0.038096,0.292792,0.214296,0.012788,0.023698,0.004652,0.000257,0.000003,0.041399,0.034920
1790149229.000000,1790149229.540696,946690218.787652,946690226.631104,7.843452,764392,764392,2046564,0,14,3912928,2181020,79,57,1598,0,11853,719,2089,20,0,171281,0,0,0,0,0,0,0,-0.009383,-0.016842,-0.000555,0.360301,0.006581,0.149456,0.031057,0.188147,0.219772,0.014201,0.019575,0.009267,0.000295,0.000003,0.043341,0.035656
1790149230.000000,1790149230.828038,946690219.120690,946690227.926573,8.805883,819460,819460,2117776,0,14,3855636,2181020,89,63,1799,0,12100,749,2295,22,0,191801,0,0,0,0,0,0,0,-0.009025,0.002806,-0.000239,0.134240,0.006678,0.306316,0.048244,0.362796,0.230719,0.014067,0.026382,0.007024,0.000247,0.000003,0.047723,0.036270
1790149231.000000,1790149231.897627,946690219.375644,946690228.951399,9.575754,866776,866776,2173204,0,14,3804636,2181020,96,66,1943,0,12267,760,2476,23,0,220090,0,0,0,0,0,0,0,-0.011098,0.019701,-0.000631,0.040064,0.011042,0.438378,0.059628,0.511199,0.242914,0.016933,0.017489,0.007880,0.000268,0.000003,0.042574,0.036784
1790149232.000000,1790149232.931462,946690219.657067,946690230.030996,10.373929,890880,890880,2232840,0,14,3779708,2181020,104,69,2107,0,12398,783,2673,26,0,238450,0,0,0,0,0,0,0,-0.010849,0.016747,-0.000283,0.081637,0.004108,0.123060,0.022839,0.150854,0.234158,0.009277,0.016845,0.005108,0.000290,0.000003,0.031522,0.036493
1790149234.000000,1790149234.065782,946690219.856204,946690231.229577,11.373373,922236,922236,2281536,0,14,3744428,2181020,114,72,2308,0,12503,862,3075,29,0,264970,0,0,0,0,0,0,0,-0.014751,0.021124,-0.000578,0.035363,0.003435,0.148317,0.024668,0.177545,0.221258,0.013364,0.020360,0.005553,0.000278,0.000003,0.039558,0.035351
1790149235.000000,1790149235.183453,946690220.039685,946690232.329278,12.289593,976800,976800,2357508,0,14,3688028,2181020,123,78,2492,0,12592,904,3302,32,0,281652,0,0,0,0,0,0,0,-0.014267,0.017392,-0.002997,0.092788,0.000538,0.022211,0.003173,0.026310,0.209683,0.003128,0.011437,0.001063,0.000079,0.000134,0.015842,0.034672
